Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Season,VegetationType,Heatwave,Drought,Lightning,Classes
34.6,38.8,19.7,1.5,81.2,92.7,361.0,28.0,253.6,22.7,Summer,Forest,0,1,0,fire
41.2,51.9,21.7,0.1,88.5,109.3,414.3,27.6,259.7,21.6,Autumn,Agriculture,0,0,0,fire
39.2,27.1,15.0,0.9,87.3,100.7,370.9,26.5,221.9,19.0,Autumn,Shrubland,0,0,0,fire
38.6,49.9,9.6,0.6,73.0,104.4,342.5,20.7,214.8,18.7,Spring,Shrubland,0,0,0,not fire
35.0,5.0,14.9,1.6,85.3,120.8,464.5,28.3,295.9,22.7,Winter,Forest,0,1,0,fire
37.7,60.8,11.3,4.3,73.0,93.9,361.2,23.7,242.5,19.2,Summer,Grassland,0,0,0,not fire
34.3,52.0,18.1,1.6,72.5,83.9,251.9,23.5,184.1,16.2,Autumn,Forest,1,0,0,fire
31.8,67.7,13.8,1.0,61.8,68.1,258.0,19.8,189.0,17.1,Autumn,Shrubland,0,0,0,not fire
28.5,28.3,14.7,3.1,67.5,77.7,308.5,21.0,212.6,15.1,Spring,Grassland,0,0,0,not fire
34.9,61.1,5.0,0.7,66.0,80.6,274.1,16.1,196.9,16.0,Winter,Forest,0,0,0,fire
32.1,87.1,11.3,4.9,55.7,40.7,152.8,17.2,93.9,11.1,Winter,Forest,1,0,0,not fire
30.8,47.5,18.8,0.1,74.0,73.0,279.5,26.5,189.1,18.3,Spring,Forest,0,0,0,not fire
20.6,12.2,11.3,0.2,70.9,79.2,293.3,23.6,191.0,17.5,Spring,Agriculture,0,1,0,not fire
38.4,38.1,23.3,0.3,91.6,94.3,272.7,31.0,195.4,20.8,Summer,Grassland,0,0,0,fire
31.8,54.5,21.7,0.9,71.1,99.9,342.8,24.0,222.9,17.9,Spring,Grassland,0,0,0,not fire
17.7,53.0,4.9,0.5,48.9,56.8,237.8,12.8,148.2,11.4,Winter,Agriculture,0,0,0,not fire
31.6,40.3,20.5,1.9,81.5,83.0,312.0,30.0,207.5,20.5,Winter,Shrubland,0,0,0,not fire
29.4,55.3,6.9,0.4,62.0,79.6,349.1,19.6,226.8,17.1,Spring,Forest,1,0,0,fire
25.3,16.9,14.9,0.5,80.2,79.5,321.7,26.3,186.3,17.2,Autumn,Grassland,0,1,0,fire
31.7,29.0,9.0,2.3,66.7,92.6,317.9,19.6,218.2,18.5,Summer,Shrubland,0,0,0,not fire
35.3,27.9,22.8,0.7,86.8,104.0,356.8,28.5,246.8,22.7,Winter,Grassland,0,0,0,fire
35.6,68.7,17.7,0.9,70.9,60.8,291.7,23.0,174.2,19.0,Summer,Forest,0,0,0,fire
28.2,57.9,9.2,1.3,57.3,53.6,239.4,18.6,156.3,13.5,Autumn,Agriculture,0,0,0,not fire
32.2,27.8,17.7,0.3,77.1,96.6,402.9,25.8,285.0,20.7,Spring,Forest,0,0,0,fire
42.1,67.8,13.7,4.4,72.5,82.9,340.4,22.2,215.8,18.5,Autumn,Shrubland,1,0,0,fire
27.7,67.4,0.2,0.6,49.0,46.2,123.6,11.8,93.4,8.7,Spring,Forest,0,0,0,not fire
22.1,56.6,12.4,0.1,60.2,55.1,174.2,20.2,118.6,12.8,Summer,Agriculture,0,0,0,not fire
42.2,67.4,15.7,0.2,77.6,94.8,315.6,24.7,206.8,18.7,Summer,Shrubland,0,0,0,fire
41.0,47.4,16.3,2.0,77.0,107.1,425.1,22.8,270.9,19.5,Autumn,Forest,0,0,0,not fire
31.3,45.8,15.8,1.8,71.4,89.3,320.3,23.5,228.8,18.2,Summer,Agriculture,0,0,0,not fire
26.4,65.7,16.4,1.2,62.8,53.2,258.9,21.3,143.9,13.8,Winter,Agriculture,0,0,0,not fire
33.5,90.4,13.5,0.3,64.1,61.1,261.1,22.9,175.2,17.0,Autumn,Shrubland,0,0,0,not fire
28.2,49.2,19.4,1.5,71.1,87.1,325.8,24.4,207.9,18.9,Autumn,Shrubland,0,0,0,not fire
37.4,58.2,10.6,1.6,69.1,87.0,345.0,20.7,240.7,16.8,Winter,Forest,0,0,0,not fire
30.9,34.8,20.2,0.8,78.4,83.9,251.0,27.9,175.9,18.8,Autumn,Forest,1,0,0,fire
39.1,67.2,22.7,2.0,77.7,91.0,356.9,25.6,238.0,19.8,Spring,Agriculture,0,1,0,fire
24.6,67.1,6.4,0.7,52.4,32.5,176.4,15.5,103.9,11.8,Spring,Grassland,0,1,0,fire
36.5,21.4,11.9,0.6,78.3,113.3,313.1,24.3,217.7,19.3,Winter,Shrubland,0,1,0,fire
25.3,72.5,11.9,1.2,54.0,31.8,151.3,17.4,87.8,11.0,Autumn,Shrubland,0,0,0,not fire
45.4,93.6,19.6,3.9,74.0,77.6,326.6,24.3,212.0,17.3,Summer,Grassland,0,0,1,fire
33.7,47.0,16.3,1.3,79.3,110.8,377.1,27.8,260.9,20.5,Winter,Shrubland,0,0,0,not fire
28.2,54.2,10.4,0.3,62.9,65.4,284.3,17.5,186.9,14.5,Spring,Forest,1,0,0,not fire
30.9,82.8,10.9,3.4,62.0,40.1,166.1,21.1,106.0,12.8,Spring,Agriculture,0,0,0,not fire
25.2,26.0,11.5,1.2,72.9,78.1,264.0,20.8,177.4,15.1,Winter,Shrubland,0,0,0,not fire
33.7,64.2,11.9,0.0,70.6,83.4,294.7,21.2,204.1,16.8,Spring,Grassland,0,1,0,not fire
33.5,67.6,15.8,0.9,64.5,86.5,275.5,23.1,175.9,17.0,Spring,Grassland,1,0,0,fire
25.8,39.0,14.4,7.3,67.4,65.7,266.5,21.9,171.5,15.7,Spring,Forest,1,0,0,not fire
41.6,54.0,15.1,0.7,83.0,97.5,371.2,27.3,232.9,20.3,Spring,Shrubland,0,0,0,fire
24.2,56.9,16.9,4.5,59.8,44.3,166.4,19.7,113.5,14.8,Summer,Grassland,0,0,0,fire
37.3,40.7,16.1,0.3,84.3,121.9,473.1,28.9,273.2,22.6,Summer,Agriculture,0,0,0,not fire
29.5,52.4,17.8,4.2,67.5,73.5,310.8,23.8,199.1,16.2,Summer,Agriculture,0,0,0,not fire
35.6,31.9,19.8,2.5,85.2,101.4,423.8,28.6,265.3,20.3,Spring,Agriculture,0,0,0,not fire
31.4,56.2,18.2,0.0,69.4,69.9,230.8,22.2,162.1,16.4,Autumn,Shrubland,0,0,0,not fire
35.7,10.1,16.6,3.5,89.5,95.0,328.7,27.8,226.6,20.1,Autumn,Grassland,0,0,0,fire
40.5,54.4,13.3,0.6,81.3,97.4,395.9,23.9,258.5,19.0,Winter,Shrubland,0,0,0,not fire
41.3,65.1,6.9,0.6,70.2,105.9,410.7,17.5,264.1,18.2,Autumn,Forest,0,0,0,not fire
39.7,32.0,21.1,0.7,92.2,113.4,436.5,32.6,286.3,24.1,Winter,Grassland,0,0,0,fire
32.3,71.8,10.9,0.7,63.0,72.0,287.2,17.2,188.5,15.4,Summer,Shrubland,0,0,0,not fire
27.5,40.9,13.3,3.3,67.7,77.4,287.1,22.2,198.6,18.9,Spring,Forest,0,0,0,not fire
26.9,11.3,17.4,1.6,73.3,85.5,317.2,22.4,208.7,18.9,Winter,Forest,0,0,0,not fire
35.1,60.5,11.4,4.1,66.9,81.1,279.9,20.5,207.9,15.2,Winter,Grassland,0,0,1,not fire
34.2,66.2,10.5,0.5,69.2,81.4,287.0,19.1,198.5,13.8,Winter,Grassland,0,0,0,not fire
32.2,70.9,20.3,1.3,66.0,58.5,249.2,25.1,148.5,14.3,Autumn,Agriculture,1,1,0,not fire
24.5,75.3,16.6,2.7,49.7,55.5,203.3,16.7,143.2,12.9,Spring,Agriculture,0,0,0,not fire
21.7,43.1,14.3,0.3,60.4,38.5,214.3,18.2,142.4,12.6,Summer,Forest,1,0,0,fire
28.7,35.5,8.9,0.3,71.1,95.9,337.2,22.0,232.9,17.9,Spring,Agriculture,0,0,0,not fire
28.6,27.1,16.6,3.6,67.9,80.5,335.4,23.6,227.9,20.0,Winter,Forest,1,1,0,fire
